producto_id,categoria,marca,nombre_completo,corte,precio,tallas_disponibles,colores_disponibles,descripcion
pantalon-clasico-jeans,Pantalones Jeans,Lois,Pantalón Clásico Jeans - Lois Originals,Corte Clásico,,"28, 30, 32, 34, 36","Azul Clásico, Negro, Plomo Oscuro",Jean clásico Lois de bota recta tradicional. Confeccionado en denim puro heavy-duty de alta densidad.
pantalon-semi-pitillo-jeans,Pantalones Jeans,Element,Pantalón Semi Pitillo Jeans - Element Comfort,Semi Pitillo,,"28, 30, 32, 34, 36","Azul Cristal, Negro, Plomo Claro",Jean Element Semi Pitillo con caída entallada sobria. Equilibrio perfecto entre entalle moderno y total comodidad.
pantalon-pitillo-jeans,Pantalones Jeans,Bronco,Pantalón Pitillo Jeans - Bronco Slim Fit,Slim Fit,,"28, 30, 32, 34","Negro Stone, Azul Pacific",Jean pitillo ceñido al cuerpo de la marca Bronco. Confeccionado con tejido elástico adaptativo.
pantalon-clasico-strech,Pantalones Jeans,Pionier,Pantalón Clásico en Strech - Pionier Comfort,Corte Clásico,,"28, 30, 32, 34, 36, 38","Azul Cristal, Grafito, Celeste",Pantalón clásico de tiro anatómico confeccionado en tela strech ultra suave.
pantalon-clasico-dril,Pantalones Dril,Pionier,Pantalón Clásico en Algodón Dril,Corte Clásico Dril,,"28, 30, 32, 34, 36","Beige Khaki, Plomo Ejecutivo, Negro",Pantalón de dril 100% algodón con textura elegante. Ideal para vestimenta casual ejecutiva.
pantalon-semi-pitillo-dril,Pantalones Dril,Element,Pantalón SEMI Pitillo Dril Urban Comfort,Semi Pitillo Dril,,"28, 30, 32, 34","Plomo Claro, Verdoso Olive",Pantalón en dril stretch de silueta semi pitillo. Estiliza las piernas manteniendo soltura.
pantalon-cargo-dril,Pantalones Dril,Bronco,Pantalón Cargo Dril Tactico & Urbano,Cargo Dril,,"28, 30, 32, 34, 36","Verde Olivo, Negro",Pantalón cargo en dril reforzado con múltiples bolsillos laterales utilitarios.
pantalon-cargo-jeans,Pantalones Sueltos,Element,Pantalón Cargo Jeans Loose Fit,Cargo Relajado,,"28, 30, 32, 34","Maíz Acid, Azul Denim",Cargo en denim puro con bolsillos tipo compartimento en los muslos. Estilo oversized holgado.
bagui-jeans,Pantalones Sueltos,Element,Bagui Jeans - Baggy Streetwear Original,Baggy Fit,,"28, 30, 32, 34, 36","Plomo Claro, Plomo Oscuro",Jean Baggy holgado en caderas y muslos con caída ancha hasta los tobillos.
moon-jeans,Pantalones Sueltos,Element,Moon Jeans - MOM / Moon Fit Urban,Moon Fit / MOM,,"28, 30, 32, 34","Plomo Intermedio, Maíz",Jean Moon Fit con tiro alto y silueta ligeramente curva en muslos.
short-jeans,Shorts,Lois,Short Jeans - Lois Summer Edition,Short Denim,,"28, 30, 32, 34, 36","Celeste Summer, Azul Vintage",Bermuda / Short en denim stretch con acabado deshilachado o doblado.
short-dril,Shorts,Pionier,Short Dril Chino Confort,Short Dril Chino,,"28, 30, 32, 34, 36","Beige Khaki, Plomo",Short estilo chino confeccionado en algodón dril peinado.
short-cargo,Shorts,Bronco,Short Cargo Utilitario Dril & Denim,Short Cargo,,"28, 30, 32, 34, 36","Verde Olivo, Negro",Bermuda cargo con múltiples bolsillos tácticos.
short-suelto,Shorts,Element,Short Suelto Relaxed Fit,Short Holgado,,"28, 30, 32, 34","Maíz Soft, Hielo",Short de pierna ancha y holgada para total ventilación y libertad de movimiento.
short-clasico-jeans,Shorts,Pionier,Short Clásico Jeans - Pionier Heritage,Short Clásico,,"28, 30, 32, 34, 36","Azul Cristal, Acero",Short de jean tradicional Pionier con bota recta clásica.
casaca-jeans,Casacas,Lois,Casaca Jeans - Lois Trucker Original,Casaca Denim,,"S, M, L, XL","Azul Clásico, Negro Stone",Casaca de jean modelo Trucker icónico de Lois. Elaborada en denim rígido de alto gramaje.
casaca-peluche-jeans,Casacas,Bronco,Casaca Jeans con Peluche Sherpa,Casaca Sherpa Warm,,"S, M, L, XL","Azul Winter, Negro Deep",Casaca de jean acolchada con cuello e interior en peluche / sherpa blanco térmico.
